iter	RMSE
0	1181.263157
1	835.5473646
2	676.9537833
3	609.3097054
4	567.3936122
5	550.7180206
6	536.2515611
7	526.9676699
8	518.1819222
9	512.991113
10	507.3502159
11	501.6017369
12	498.4233038
13	495.8951735
14	492.9510094
15	488.9055073
16	484.194771
17	480.9880407
18	479.1915359
19	474.8103569
20	473.3846204
21	472.6963798
22	470.4181041
23	468.7999642
24	465.1499668
25	463.7428838
26	462.3111974
27	460.6340525
28	459.4307358
29	458.4389151
30	456.8542747
31	455.6358246
32	454.5789063
33	452.9976593
34	451.925329
35	450.3173455
36	448.904401
37	446.6916647
38	445.6214441
39	444.4463103
40	442.7653391
41	441.7121421
42	439.9613283
43	439.606085
44	438.5304283
45	437.5771678
46	436.4996312
47	436.1082288
48	435.3532047
49	434.610544
