iter	Passed	Remaining
0	10	494
1	18	448
2	27	429
3	36	415
4	44	403
5	53	388
6	61	376
7	69	366
8	78	355
9	86	346
10	94	335
11	103	327
12	111	316
13	119	307
14	127	297
15	136	290
16	145	282
17	153	272
18	162	264
19	170	255
20	179	247
21	187	238
22	196	230
23	205	222
24	214	214
25	223	206
26	235	200
27	244	192
28	255	185
29	265	177
30	276	169
31	286	161
32	294	151
33	304	143
34	313	134
35	321	125
36	331	116
37	339	107
38	349	98
39	359	89
40	368	80
41	378	72
42	386	62
43	395	53
44	404	44
45	412	35
46	420	26
47	427	17
48	435	8
49	442	0
