iter	RMSE
0	5543.131337
1	3442.805804
2	2502.337261
3	2150.016873
4	2008.039001
5	1919.477773
6	1856.726398
7	1813.596447
8	1792.085312
9	1758.057414
10	1733.863201
11	1701.88392
12	1681.544041
13	1664.975109
14	1655.881332
15	1633.959824
16	1625.957695
17	1618.995328
18	1595.481959
19	1584.272124
20	1576.012956
21	1569.948661
22	1558.942975
23	1550.443186
24	1543.911447
25	1539.542685
26	1530.640196
27	1526.67674
28	1521.206159
29	1516.558736
30	1507.100556
31	1504.282817
32	1495.818933
33	1493.310363
34	1489.508722
35	1485.362722
36	1480.70207
37	1476.58501
38	1473.507784
39	1470.682221
40	1468.31844
41	1464.780295
42	1462.151306
43	1459.082384
44	1456.786988
45	1452.938045
46	1451.605459
47	1449.431323
48	1447.631452
49	1445.355131
