iter	Passed	Remaining
0	15	759
1	29	715
2	44	699
3	59	681
4	73	657
5	86	635
6	101	624
7	114	598
8	127	579
9	142	568
10	155	551
11	168	532
12	182	518
13	197	508
14	211	492
15	226	480
16	239	465
17	252	449
18	267	436
19	282	423
20	300	414
21	314	400
22	330	387
23	346	375
24	361	361
25	378	349
26	392	334
27	404	318
28	418	302
29	433	289
30	446	273
31	460	259
32	474	244
33	486	229
34	500	214
35	513	199
36	527	185
37	542	171
38	555	156
39	570	142
40	585	128
41	600	114
42	613	99
43	628	85
44	642	71
45	655	57
46	668	42
47	682	28
48	694	14
49	708	0
